2026-01-14 22:44:40|SỬA|Cảng Bourbon (LA) → Fico Tây Ninh|109 km|Chỉnh lại|Cũ: 67,Cảng Bourbon (Long An),Fico Tây Ninh,109
2026-01-14 22:47:11|SỬA|TN Phú Hữu → Ụ Minh Tâm (HP)|20 km|Chỉnh lại|Cũ: 305,TN Phú Hữu,Ụ Minh Tâm,20
2026-01-14 22:47:51|SỬA|Cảng Bến Lức (LA) → Tân Uyên (BD)|146 km|Chỉnh lại|Cũ: 71,Cảng Bến Lức (Long An),Tân Uyên (BD),146
2026-01-14 22:48:14|SỬA|Cảng Bến Lức (LA) → Cảng Tổng Hợp (Thị Vải)|127 km|Chỉnh lại|Cũ: 72,Cảng Bến Lức (Long An),Cảng Tổng Hợp (Thị Vải),127
2026-01-14 22:48:38|SỬA|Cảng Bến Lức (LA) → Cảng An Ngãi (BRVT)|156 km|Chỉnh lại|Cũ: 73,Cảng Bến Lức (Long An),Cảng An Ngãi (BRVT),156
2026-01-14 22:49:00|SỬA|DC Bình Đức (LA) → Cảng An Ngãi (BRVT)|166 km|Chỉnh lại|Cũ: 74,DC Bình Đức (Long An),Cảng An Ngãi (BRVT),166
2026-01-14 22:49:36|SỬA|Cảng An Ngãi (BRVT) → Cảng Ngọc Bích (LA)|159 km|Chỉnh lại|Cũ: 105,Cảng An Ngãi (BRVT),Cảng Ngọc Bích (Long An),159
2026-01-14 22:55:29|SỬA|Cảng An Sơn → Phao ITC (Gò Gia)|90 km|Chỉnh lại|Cũ: 278,C.An Sơn,Phao ITC (Gò Gia),90
2026-01-14 22:57:37|SỬA|Cảng An Sơn → Cảng Long Thuận (ĐN)|62 km|Chỉnh lại|Cũ: 289,C.An Sơn,Cảng Long Thuận (ĐN),62
2026-01-14 23:18:46|THÊM|Cảng SITV (Thị Vải) → Cảng An Sơn (BD)|100 km|Không có lý do
2026-01-14 23:19:40|SỬA|Cảng An Sơn (BD) → Cảng Long Thuận (ĐN)|62 km|Chỉnh lại|Cũ: 289,Cảng An Sơn,Cảng Long Thuận (ĐN),62
2026-01-14 23:21:42|SỬA|Cảng An Sơn (BD) → Phao ITC (Gò Gia)|90 km|Chỉnh lại|Cũ: 278,Cảng An Sơn,Phao ITC (Gò Gia),90
2026-01-14 23:26:49|THÊM|Cảng An Sơn (BD) → Cảng Tuấn An Phú (BD)|105 km|Không có lý do
2026-01-14 23:32:19|SỬA|Cảng An Sơn (BD) → Tuấn An Phú (BD)|105 km|Chỉnh lại|Cũ: 338,Cảng An Sơn (BD),Cảng Tuấn An Phú (BD),105
